Order_ID,Order_Date,Product,Category,Region,Quantity,Sales,Profit
ORD-029,2023-03-28,Peloton Bike,Sports,North,1,1495,448.50
ORD-030,2023-04-01,Bose SoundLink,Electronics,West,3,537,161.10
ORD-031,2023-04-04,Standing Desk Basic,Furniture,South,2,698,209.40
ORD-032,2023-04-07,Markers Set,Office Supplies,East,50,149,74.50
ORD-033,2023-04-10,Nintendo Switch,Electronics,North,4,1196,358.80
ORD-034,2023-04-13,Bookcase 5-Shelf,Furniture,West,1,349,104.70
ORD-035,2023-04-16,USB Hub 7-Port,Office Supplies,South,10,199,99.50
ORD-036,2023-04-19,PlayStation 5,Electronics,East,2,999,299.70
ORD-037,2023-04-22,File Organizer,Office Supplies,North,15,179,89.50
ORD-038,2023-04-25,Recliner Chair,Furniture,West,2,798,239.40
ORD-039,2023-04-28,Galaxy Tab S8,Electronics,South,3,1797,539.10
ORD-040,2023-05-02,Desk Organizer Set,Office Supplies,East,8,159,79.50
ORD-041,2023-05-05,Coffee Table Modern,Furniture,North,2,498,149.40
ORD-042,2023-05-08,DJI Mavic 3,Electronics,West,1,2199,659.70
ORD-043,2023-05-11,Pen Set Premium,Office Supplies,South,30,239,119.50
ORD-044,2023-05-14,TV Stand Entertainment,Furniture,East,1,449,134.70
ORD-045,2023-05-17,Samsung QLED 65,Electronics,North,1,1799,539.70
ORD-046,2023-05-20,Calculator Scientific,Office Supplies,West,12,179,89.50
ORD-047,2023-05-23,Wardrobe Cabinet,Furniture,South,1,899,269.70
ORD-048,2023-05-26,Razer Gaming Laptop,Electronics,East,1,2499,749.70
ORD-049,2023-05-29,Tape Dispenser,Office Supplies,North,25,99,49.50
ORD-050,2023-06-02,Dining Table Set,Furniture,West,1,1299,389.70
ORD-051,2023-06-05,GoPro Hero 11,Electronics,South,2,798,239.40
ORD-052,2023-06-08,Clipboard Set,Office Supplies,East,20,79,39.50
ORD-053,2023-06-11,Mattress Queen,Furniture,North,2,1598,479.40
ORD-054,2023-06-14,Kindle Paperwhite,Electronics,West,5,749,299.60
ORD-055,2023-06-17,Scissors Set,Office Supplies,South,15,59,29.50
ORD-056,2023-06-20,Nightstand Pair,Furniture,East,2,298,89.40
ORD-057,2023-06-23,JBL Flip 6,Electronics,North,4,496,148.80
ORD-058,2023-06-26,Binder Clips Box,Office Supplies,West,30,69,34.50
ORD-059,2023-06-29,Office Partition,Furniture,South,1,699,209.70
ORD-060,2023-07-03,Fujifilm X-T5,Electronics,East,1,1699,509.70
ORD-061,2023-07-06,Rubber Bands Pack,Office Supplies,North,40,49,24.50
ORD-062,2023-07-09,Dresser 6-Drawer,Furniture,West,1,599,179.70
ORD-063,2023-07-12,Sonos Arc,Electronics,South,1,899,269.70
ORD-064,2023-07-15,Pencil Set 50,Office Supplies,East,30,39,19.50
ORD-065,2023-07-18,Sofa Sectional,Furniture,North,1,2499,749.70
ORD-066,2023-07-21,Sony PS VR2,Electronics,West,1,549,164.70
ORD-067,2023-07-24,Paper Clips Box,Office Supplies,South,50,29,14.50
ORD-068,2023-07-27,Lounge Chair,Furniture,East,2,898,269.40
ORD-069,2023-07-30,Apple Studio Display,Electronics,North,1,1599,479.70
ORD-070,2023-08-03,Notebook Set,Office Supplies,West,40,79,39.50
ORD-071,2023-08-06,Bed Frame King,Furniture,South,1,899,269.70
ORD-072,2023-08-09,Samsung Galaxy Fold,Electronics,East,1,1799,539.70
ORD-073,2023-08-12,Folders Assorted,Office Supplies,North,60,59,29.50
ORD-074,2023-08-15,Vanity Table Set,Furniture,West,1,449,134.70
ORD-075,2023-08-18,Canon R5,Electronics,South,1,3899,1169.70
ORD-076,2023-08-21,Envelope Pack,Office Supplies,East,100,49,24.50
ORD-077,2023-08-24,Bunk Bed Kids,Furniture,North,1,699,209.70
ORD-078,2023-08-27,Dell XPS 15,Electronics,West,2,2398,719.40
ORD-079,2023-08-30,Highlighter Set,Office Supplies,South,25,49,24.50
ORD-080,2023-09-03,Computer Desk,Furniture,East,3,1047,314.10
ORD-081,2023-09-06,Sony A7 IV,Electronics,North,1,2499,749.70
ORD-082,2023-09-09,Correction Tape,Office Supplies,West,20,39,19.50
ORD-083,2023-09-12,Accent Chair,Furniture,South,2,498,149.40
ORD-084,2023-09-15,Google Pixel 7 Pro,Electronics,East,3,2697,809.10
ORD-085,2023-09-18,Post-it Notes Pack,Office Supplies,North,40,49,24.50
ORD-086,2023-09-21,Shoe Rack,Furniture,West,2,198,59.40
ORD-087,2023-09-24,Apple TV 4K,Electronics,South,3,537,161.10
ORD-088,2023-09-27,Tape Roll Pack,Office Supplies,East,30,39,19.50
ORD-089,2023-10-01,Murphy Bed,Furniture,North,1,1499,449.70
ORD-090,2023-10-04,Samsung Soundbar,Electronics,West,2,398,119.40
ORD-091,2023-10-07,Glue Sticks Pack,Office Supplies,South,25,29,14.50
ORD-092,2023-10-10,Patio Set,Furniture,East,1,1299,389.70
ORD-093,2023-10-13,Meta Quest Pro,Electronics,North,1,999,299.70
ORD-094,2023-10-16,Push Pins Box,Office Supplies,West,30,19,9.50
ORD-095,2023-10-19,Wine Rack,Furniture,South,2,158,47.40
ORD-096,2023-10-22,OnePlus 11,Electronics,East,2,1398,419.40
ORD-097,2023-10-25,Ruler Set,Office Supplies,North,15,29,14.50
ORD-098,2023-10-28,Futon Sofa Bed,Furniture,West,1,599,179.70
ORD-099,2023-11-01,iPad Pro 12.9,Electronics,South,2,2198,659.40
ORD-100,2023-11-04,Sticky Notes Dispenser,Office Supplies,East,10,49,24.50
ORD-101,2023-11-07,Bar Stool Set,Furniture,North,4,396,118.80
ORD-102,2023-11-10,Sony Xperia 1 V,Electronics,West,1,1399,419.70
ORD-103,2023-11-13,Clipboard Aluminum,Office Supplies,South,8,79,39.50
ORD-104,2023-11-16,Console Table,Furniture,East,2,298,89.40
ORD-105,2023-11-19,Nothing Phone 2,Electronics,North,2,1198,359.40
ORD-106,2023-11-22,Desk Pad Large,Office Supplies,West,5,79,39.50
ORD-107,2023-11-25,Mirror Floor,Furniture,South,1,299,89.70
ORD-108,2023-11-28,Asus ROG Phone,Electronics,East,1,1099,329.70
ORD-109,2023-12-02,Laminator A4,Office Supplies,North,2,158,79.00
ORD-110,2023-12-05,Bedside Table,Furniture,West,4,396,118.80
ORD-111,2023-12-08,Google Pixel Watch,Electronics,South,3,897,269.10
ORD-112,2023-12-11,Hole Punch,Office Supplies,East,6,59,29.50
ORD-113,2023-12-14,Bookcase Ladder,Furniture,North,1,499,149.70
ORD-114,2023-12-17,Samsung Galaxy Watch,Electronics,West,4,796,238.80
ORD-115,2023-12-20,Business Card Holder,Office Supplies,South,15,45,22.50
ORD-116,2023-12-23,TV Unit Modern,Furniture,East,1,699,209.70
ORD-117,2023-12-26,Garmin Fenix 7,Electronics,North,2,1398,419.40
ORD-118,2023-12-29,Stamp Pad Set,Office Supplies,West,10,49,24.50
ORD-119,2024-01-02,Kitchen Island,Furniture,South,1,899,269.70
ORD-120,2024-01-05,Fitbit Sense 2,Electronics,East,3,599,179.70
ORD-121,2024-01-08,Letter Tray,Office Supplies,North,8,39,19.50
ORD-122,2024-01-11,Pantry Cabinet,Furniture,West,1,799,239.70
ORD-123,2024-01-14,Amazfit GTR 4,Electronics,South,5,699,209.70
ORD-124,2024-01-17,Label Maker,Office Supplies,East,3,119,59.50
ORD-125,2024-01-20,Coffee Station,Furniture,North,1,549,164.70
ORD-126,2024-01-23,Garmin Venu 2,Electronics,West,2,399,119.70
ORD-127,2024-01-26,Drawer Dividers,Office Supplies,South,12,47,23.50
ORD-128,2024-01-29,Sideboard Buffet,Furniture,East,1,899,269.70
ORD-129,2024-02-02,Suunto 9 Peak,Electronics,North,2,599,179.70
ORD-130,2024-02-05,Desk Globe,Office Supplies,West,4,79,39.50
ORD-131,2024-02-08,Credenza Office,Furniture,South,1,1299,389.70
ORD-132,2024-02-11,Polar Vantage V,Electronics,East,1,499,149.70
ORD-133,2024-02-14,Memo Holder,Office Supplies,North,10,29,14.50
ORD-134,2024-02-17,Hall Tree Coat,Furniture,West,1,399,119.70
ORD-135,2024-02-20,Casio G-Shock,Electronics,South,3,449,134.70
ORD-136,2024-02-23,Desktop Organizer,Office Supplies,East,6,89,44.50
ORD-137,2024-02-26,Wine Cabinet,Furniture,North,1,699,209.70
ORD-138,2024-03-01,Timex Ironman,Electronics,West,5,249,124.50
ORD-139,2024-03-04,Magazine Rack,Office Supplies,South,3,44,22.00
ORD-140,2024-03-07,Locker Storage,Furniture,East,2,498,149.40
ORD-141,2024-03-10,Seiko Presage,Electronics,North,1,499,149.70
ORD-142,2024-03-13,Document Frame,Office Supplies,West,8,55,27.50
ORD-143,2024-03-16,Pet Crate Table,Furniture,South,1,249,74.70
ORD-144,2024-03-19,Citizen Eco-Drive,Electronics,East,2,398,119.40
ORD-145,2024-03-22,Calendar 2024,Office Supplies,North,5,49,24.50
ORD-146,2024-03-25,Bar Cabinet,Furniture,West,1,799,239.70
ORD-147,2024-03-28,Bulova Watch,Electronics,South,1,349,104.70
ORD-148,2024-04-01,Planner Leather,Office Supplies,East,3,89,44.50
ORD-149,2024-04-04,Kids Desk Set,Furniture,North,1,499,149.70
ORD-150,2024-04-07,Tissot PRX,Electronics,West,1,399,119.70
ORD-151,2024-04-10,Pen Cup Holder,Office Supplies,South,10,29,14.50
ORD-152,2024-04-13,Bathroom Cabinet,Furniture,East,2,498,149.40
ORD-153,2024-04-16,Fossil Gen 6,Electronics,North,2,299,89.70
ORD-154,2024-04-19,Ink Cartridge Set,Office Supplies,West,6,119,59.50
ORD-155,2024-04-22,Gaming Desk,Furniture,South,1,449,134.70
ORD-156,2024-04-25,Moto Watch 100,Electronics,East,3,299,89.70
ORD-157,2024-04-28,Toner Black,Office Supplies,North,4,159,79.50
ORD-158,2024-05-02,Vanity Mirror,Furniture,West,1,249,74.70
ORD-159,2024-05-05,TicWatch Pro 5,Electronics,South,2,349,104.70
ORD-160,2024-05-08,Wireless Charger,Office Supplies,East,5,149,74.50
ORD-161,2024-05-11,Jewelry Armoire,Furniture,North,1,399,119.70
ORD-162,2024-05-14,Huawei Watch GT,Electronics,West,2,449,134.70
ORD-163,2024-05-17,Power Bank 20000,Office Supplies,South,4,119,59.50
ORD-164,2024-05-20,Electric Fireplace,Furniture,East,1,699,209.70
ORD-165,2024-05-23,Withings ScanWatch,Electronics,North,1,299,89.70
ORD-166,2024-05-26,Mouse Pad XL,Office Supplies,West,8,79,39.50
ORD-167,2024-05-29,Floating Shelves,Furniture,South,3,179,53.70
ORD-168,2024-06-02,Mobvoi TicWatch,Electronics,East,2,249,74.70
ORD-169,2024-06-05,Monitor Stand,Office Supplies,North,5,149,74.50
ORD-170,2024-06-08,Drawer Nightstand,Furniture,West,2,298,89.40
ORD-171,2024-06-11,Amazfit Bip 5,Electronics,South,4,279,83.70
ORD-172,2024-06-14,Laptop Sleeve,Office Supplies,East,6,89,44.50
ORD-173,2024-06-17,Coffee Table Lift,Furniture,North,1,549,164.70
ORD-174,2024-06-20,Kieslect Kr2,Electronics,West,2,199,59.70
ORD-175,2024-06-23,Tablet Stand,Office Supplies,South,4,79,39.50
ORD-176,2024-06-26,Ottoman Storage,Furniture,East,2,298,89.40
ORD-177,2024-06-29,Noise ColorFit,Electronics,North,5,249,99.60
ORD-178,2024-07-03,Phone Holder,Office Supplies,West,10,49,24.50
ORD-179,2024-07-06,Accent Cabinet,Furniture,South,1,499,149.70
ORD-180,2024-07-09,Realme Watch,Electronics,East,3,179,53.70
ORD-181,2024-07-12,Cable Organizer,Office Supplies,North,8,59,29.50
ORD-182,2024-07-15,Entryway Bench,Furniture,West,1,399,119.70
ORD-183,2024-07-18,Fire-Boltt Ninja,Electronics,South,6,239,71.70
ORD-184,2024-07-21,Headphone Stand,Office Supplies,East,3,49,24.50
ORD-185,2024-07-24,Media Console,Furniture,North,1,799,239.70
ORD-186,2024-07-27,boAt Storm,Electronics,West,5,199,59.70
ORD-187,2024-07-30,Keyboard Wrist Rest,Office Supplies,South,4,39,19.50
ORD-188,2024-08-03,Bookcase Corner,Furniture,East,1,449,134.70
ORD-189,2024-08-06,Noise Fit,Electronics,North,4,179,53.70
ORD-190,2024-08-09,Webcam Cover,Office Supplies,West,20,29,14.50
ORD-191,2024-08-12,Twin Bed Frame,Furniture,South,1,399,119.70
ORD-192,2024-08-15,Pebble Time,Electronics,East,2,149,44.70
ORD-193,2024-08-18,Laptop Riser,Office Supplies,North,3,79,39.50
ORD-194,2024-08-21,Lingerie Chest,Furniture,West,1,499,149.70
ORD-195,2024-08-24,Zebronics Zeb,Electronics,South,3,149,44.70
ORD-196,2024-08-27,Screen Cleaner,Office Supplies,East,6,39,19.50
ORD-197,2024-08-30,Linen Cabinet,Furniture,North,1,599,179.70
ORD-198,2024-09-03,Q&Q Watch,Electronics,West,4,119,35.70
ORD-199,2024-09-06,Printer Stand,Office Supplies,South,2,89,44.50
ORD-200,2024-09-09,Wardrobe Armoire,Furniture,East,1,999,299.70
ORD-201,2023-01-08,MacBook Air M2,Electronics,North,1,1199,359.70
ORD-202,2023-01-15,Samsung Neo QLED,Electronics,West,1,1999,599.70
ORD-203,2023-01-22,Steelcase Leap Chair,Furniture,South,2,1398,419.40
ORD-204,2023-02-05,Herman Miller Aeron,Furniture,East,1,1395,418.50
ORD-205,2023-02-12,iPhone 14,Electronics,North,3,2397,719.10
ORD-206,2023-02-19,Samsung S23 Ultra,Electronics,West,2,2398,719.40
ORD-207,2023-03-05,Peloton Tread,Sports,South,1,3495,1048.50
ORD-208,2023-03-12,NordicTrack Bike,Sports,East,1,1999,599.70
ORD-209,2023-03-19,Bowflex Dumbbells,Sports,North,1,429,128.70
ORD-210,2023-03-26,Yoga Mat Premium,Sports,West,5,199,79.60
ORD-211,2023-04-02,Resistance Band Set,Sports,South,10,149,59.60
ORD-212,2023-04-09,Foam Roller Set,Sports,East,3,89,35.60
ORD-213,2023-04-16,Kettlebell 20kg,Sports,North,2,129,38.70
ORD-214,2023-04-23,Jump Rope Speed,Sports,West,8,79,31.60
ORD-215,2023-04-30,Battle Rope 40ft,Sports,South,1,119,35.70
ORD-216,2023-05-07,Weight Bench Pro,Sports,East,1,349,104.70
ORD-217,2023-05-14,Pull-up Bar Door,Sports,North,4,199,79.60
ORD-218,2023-05-21,Punching Bag Set,Sports,West,1,249,74.70
ORD-219,2023-05-28,Boxing Gloves Pro,Sports,South,2,179,53.70
ORD-220,2023-06-04,Treadmill Compact,Sports,East,1,799,239.70
ORD-221,2023-06-11,Exercise Bike Pro,Sports,North,1,599,179.70
ORD-222,2023-06-18,Rowing Machine,Sports,West,1,1299,389.70
ORD-223,2023-06-25,Smith Machine,Sports,South,1,2999,899.70
ORD-224,2023-07-02,Cable Machine,Sports,East,1,2499,749.70
ORD-225,2023-07-09,Leg Press Machine,Sports,North,1,1999,599.70
ORD-226,2023-07-16,Dumbbell Set 50kg,Sports,West,1,449,134.70
ORD-227,2023-07-23,Olympic Bar Set,Sports,South,1,349,104.70
ORD-228,2023-07-30,Power Rack Cage,Sports,East,1,799,239.70
ORD-229,2023-08-06,Weight Plates Set,Sports,North,2,398,119.40
ORD-230,2023-08-13,Medicine Ball Set,Sports,West,3,149,59.70
ORD-231,2023-08-20,Stability Ball,Sports,South,5,124,49.60
ORD-232,2023-08-27,Bosu Ball Pro,Sports,East,2,199,79.60
ORD-233,2023-09-03,Ab Roller Wheel,Sports,North,6,89,35.60
ORD-234,2023-09-10,Push-up Handles,Sports,West,4,59,23.60
ORD-235,2023-09-17,Parallettes Set,Sports,South,2,79,31.60
ORD-236,2023-09-24,Dip Station,Sports,East,1,249,74.70
ORD-237,2023-10-01,Climbing Rope,Sports,North,2,119,35.70
ORD-238,2023-10-08,Peg Board,Sports,West,1,199,59.70
ORD-239,2023-10-15,Gymnastic Rings,Sports,South,3,89,26.70
ORD-240,2023-10-22,Agility Ladder,Sports,East,4,49,19.60
ORD-241,2023-10-29,Speed Hurdles Set,Sports,North,6,79,31.60
ORD-242,2023-11-05,Cones Training Set,Sports,West,10,49,19.60
ORD-243,2023-11-12,Resistance Tubes,Sports,South,5,79,31.60
ORD-244,2023-11-19,Ankle Weights,Sports,East,4,59,23.60
ORD-245,2023-11-26,Wrist Weights,Sports,North,4,49,19.60
ORD-246,2023-12-03,Weighted Vest,Sports,West,2,129,38.70
ORD-247,2023-12-10,Gym Bag Pro,Sports,South,2,149,44.70
ORD-248,2023-12-17,Shaker Bottle,Sports,East,8,55,27.50
ORD-249,2023-12-24,Workout Gloves,Sports,North,3,59,23.60
ORD-250,2023-12-31,Gym Belt Pro,Sports,West,2,79,31.60
ORD-251,2024-01-07,Jump Box Plyo,Sports,South,1,199,59.70
ORD-252,2024-01-14,Slam Ball Set,Sports,East,3,149,59.70
ORD-253,2024-01-21,Tennis Racket Pro,Sports,North,2,299,89.70
ORD-254,2024-01-28,Badminton Set,Sports,West,1,149,44.70
ORD-255,2024-02-04,Ping Pong Table,Sports,South,1,699,209.70
ORD-256,2024-02-11,Pickleball Set,Sports,East,2,129,38.70
ORD-257,2024-02-18,Basketball Hoop,Sports,North,1,499,149.70
ORD-258,2024-02-25,Soccer Goal Set,Sports,West,1,249,74.70
ORD-259,2024-03-03,Volleyball Net,Sports,South,1,179,53.70
ORD-260,2024-03-10,Golf Club Set,Sports,East,1,899,269.70
ORD-261,2024-03-17,Baseball Bat Pro,Sports,North,2,199,59.70
ORD-262,2024-03-24,Cricket Bat Set,Sports,West,1,249,74.70
ORD-263,2024-03-31,Hockey Stick Pro,Sports,South,2,179,53.70
ORD-264,2024-04-07,Lacrosse Set,Sports,East,1,149,44.70
ORD-265,2024-04-14,Rugby Ball Set,Sports,North,3,119,35.70
ORD-266,2024-04-21,Swimming Goggles,Sports,West,5,79,31.60
ORD-267,2024-04-28,Snorkel Set Pro,Sports,South,2,129,38.70
ORD-268,2024-05-05,Diving Fins,Sports,East,2,149,44.70
ORD-269,2024-05-12,Surfboard Pro,Sports,North,1,699,209.70
ORD-270,2024-05-19,Paddleboard,Sports,West,1,899,269.70
ORD-271,2024-05-26,Kayak Pro,Sports,South,1,1299,389.70
ORD-272,2024-06-02,Camping Tent,Sports,East,1,499,149.70
ORD-273,2024-06-09,Sleeping Bag Pro,Sports,North,3,297,89.10
ORD-274,2024-06-16,Hiking Backpack,Sports,West,2,199,59.70
ORD-275,2024-06-23,Climbing Harness,Sports,South,2,179,53.70
ORD-276,2024-06-30,Climbing Shoes,Sports,East,3,297,89.10
ORD-277,2024-07-07,Cycling Helmet,Sports,North,4,199,79.60
ORD-278,2024-07-14,Mountain Bike,Sports,West,1,1499,449.70
ORD-279,2024-07-21,Road Bike Pro,Sports,South,1,2499,749.70
ORD-280,2024-07-28,Electric Bike,Sports,East,1,2999,899.70
ORD-281,2024-08-04,Skateboard Pro,Sports,North,2,199,59.70
ORD-282,2024-08-11,Longboard Pro,Sports,West,2,249,74.70
ORD-283,2024-08-18,Roller Skates,Sports,South,2,179,53.70
ORD-284,2024-08-25,Ice Skates Pro,Sports,East,2,249,74.70
ORD-285,2024-09-01,Ski Set Complete,Sports,North,1,999,299.70
ORD-286,2024-09-08,Snowboard Pro,Sports,West,1,699,209.70
ORD-287,2024-09-15,Fishing Rod Pro,Sports,South,2,299,89.70
ORD-288,2024-09-22,Fishing Reel Set,Sports,East,3,237,71.10
ORD-289,2024-09-29,Tackle Box Pro,Sports,North,1,149,44.70
ORD-290,2024-10-06,Hunting Bow Set,Sports,West,1,699,209.70
ORD-291,2024-10-13,Archery Set,Sports,South,1,399,119.70
ORD-292,2024-10-20,Airsoft Gun Set,Sports,East,1,299,89.70
ORD-293,2024-10-27,Paintball Gun,Sports,North,1,499,149.70
ORD-294,2024-11-03,Drone Racing,Sports,West,1,799,239.70
ORD-295,2024-11-10,RC Car Pro,Sports,South,2,398,119.40
ORD-296,2024-11-17,RC Helicopter,Sports,East,1,299,89.70
ORD-297,2024-11-24,RC Boat Pro,Sports,North,1,199,59.70
ORD-298,2024-12-01,Model Train Set,Sports,West,1,349,104.70
ORD-299,2024-12-08,Slot Car Track,Sports,South,1,249,74.70
ORD-300,2024-12-15,Board Game Set,Sports,East,3,149,59.70
ORD-301,2023-01-12,Office Desk Executive,Furniture,North,2,1598,479.40
ORD-302,2023-01-19,Meeting Table 12,Furniture,West,1,2499,749.70
ORD-303,2023-01-26,Reception Desk,Furniture,South,1,1899,569.70
ORD-304,2023-02-02,Executive Chair,Furniture,East,3,1497,449.10
ORD-305,2023-02-09,Task Chair Basic,Furniture,North,10,1999,599.70
ORD-306,2023-02-16,Stacking Chair Set,Furniture,West,8,798,239.40
ORD-307,2023-02-23,Folding Table Set,Furniture,South,4,596,178.80
ORD-308,2023-03-02,Training Table,Furniture,East,6,1194,358.20
ORD-309,2023-03-09,Break Table Round,Furniture,North,4,596,178.80
ORD-310,2023-03-16,Chair Mat Large,Furniture,West,5,249,99.60
ORD-311,2023-03-23,Monitor Arm Dual,Furniture,South,8,558,167.40
ORD-312,2023-03-30,Keyboard Tray,Furniture,East,10,349,139.60
ORD-313,2023-04-06,Power Strip 10,Furniture,North,15,445,178.00
ORD-314,2023-04-13,Cable Management,Furniture,West,20,299,119.60
ORD-315,2023-04-20,Desk Partition,Furniture,South,6,534,160.20
ORD-316,2023-04-27,Whiteboard 6x4,Furniture,East,4,596,178.80
ORD-317,2023-05-04,Notice Board,Furniture,North,5,345,103.50
ORD-318,2023-05-11,Flip Chart Stand,Furniture,West,3,237,71.10
ORD-319,2023-05-18,Projector Screen,Furniture,South,2,398,119.40
ORD-320,2023-05-25,TV Wall Mount,Furniture,East,8,318,95.40
ORD-321,2023-06-01,Speaker Stand,Furniture,North,4,196,58.80
ORD-322,2023-06-08,Microphone Stand,Furniture,West,6,177,53.10
ORD-323,2023-06-15,Lighting Desk Lamp,Furniture,South,10,499,199.60
ORD-324,2023-06-22,Floor Lamp LED,Furniture,East,5,395,118.50
ORD-325,2023-06-29,Overhead Light,Furniture,North,4,356,106.80
ORD-326,2023-07-06,Task Light Pro,Furniture,West,8,318,95.40
ORD-327,2023-07-13,Emergency Light,Furniture,South,6,234,70.20
ORD-328,2023-07-20,Exit Sign Set,Furniture,East,4,156,46.80
ORD-329,2023-07-27,Fire Extinguisher,Furniture,North,3,117,35.10
ORD-330,2023-08-03,First Aid Kit,Furniture,West,5,145,58.00
ORD-331,2023-08-10,Safety Sign Set,Furniture,South,3,87,26.10
ORD-332,2023-08-17,Door Sign Custom,Furniture,East,10,99,49.50
ORD-333,2023-08-24,Name Plate Set,Furniture,North,8,119,47.60
ORD-334,2023-08-31,Coat Hook Rail,Furniture,West,6,89,26.70
ORD-335,2023-09-07,Umbrella Stand,Furniture,South,4,76,22.80
ORD-336,2023-09-14,Shoe Rack 20,Furniture,East,3,117,35.10
ORD-337,2023-09-21,Storage Locker,Furniture,North,2,258,77.40
ORD-338,2023-09-28,Supply Cabinet,Furniture,West,1,399,119.70
ORD-339,2023-10-05,Archive Box Set,Furniture,South,10,199,79.60
ORD-340,2023-10-12,Moving Dolly,Furniture,East,2,158,47.40
ORD-341,2023-10-19,Hand Truck,Furniture,North,2,138,41.40
ORD-342,2023-10-26,Platform Cart,Furniture,West,1,149,44.70
ORD-343,2023-11-02,Ladder Step,Furniture,South,3,177,53.10
ORD-344,2023-11-09,Ladder Extension,Furniture,East,1,299,89.70
ORD-345,2023-11-16,Scaffolding Set,Furniture,North,1,599,179.70
ORD-346,2023-11-23,Work Light Set,Furniture,West,4,196,58.80
ORD-347,2023-11-30,Extension Cord,Furniture,South,8,119,47.60
ORD-348,2023-12-07,Power Tool Set,Furniture,East,1,799,239.70
ORD-349,2023-12-14,Tool Box Pro,Furniture,North,2,298,89.40
ORD-350,2023-12-21,Tool Belt Set,Furniture,West,4,99,39.60
ORD-351,2023-12-28,Safety Glasses,Furniture,South,10,79,31.60
ORD-352,2024-01-04,Work Gloves Set,Furniture,East,15,89,35.60
ORD-353,2024-01-11,Hard Hat Set,Furniture,North,5,99,39.60
ORD-354,2024-01-18,Safety Vest Set,Furniture,West,8,79,31.60
ORD-355,2024-01-25,Ear Protection,Furniture,South,6,59,23.60
ORD-356,2024-02-01,Dust Mask Set,Furniture,East,20,79,31.60
ORD-357,2024-02-08,Knee Pads Pro,Furniture,North,4,79,31.60
ORD-358,2024-02-15,Tool Organizer,Furniture,West,3,117,35.10
ORD-359,2024-02-22,Parts Washer,Furniture,South,1,249,74.70
ORD-360,2024-02-29,Vise Pro,Furniture,East,1,149,44.70
ORD-361,2024-03-07,Workbench Pro,Furniture,North,1,599,179.70
ORD-362,2024-03-14,pegboard Set,Furniture,West,2,158,47.40
ORD-363,2024-03-21,Drawer Cabinet,Furniture,South,1,299,89.70
ORD-364,2024-03-28,Bin Storage Set,Furniture,East,5,199,79.60
ORD-365,2024-04-04,Shelving Unit,Furniture,North,2,298,89.40
ORD-366,2024-04-11,Pallet Rack,Furniture,West,1,499,149.70
ORD-367,2024-04-18,Cantilever Rack,Furniture,South,1,699,209.70
ORD-368,2024-04-25,Warehouse Shelf,Furniture,East,2,498,149.40
ORD-369,2024-05-02,Wire Shelving,Furniture,North,3,297,89.10
ORD-370,2024-05-09,Corner Shelf,Furniture,West,4,196,58.80
ORD-371,2024-05-16,Floating Desk,Furniture,South,1,449,134.70
ORD-372,2024-05-23,Wall Desk Fold,Furniture,East,1,349,104.70
ORD-373,2024-05-30,Laptop Desk,Furniture,North,2,298,89.40
ORD-374,2024-06-06,Standing Mat,Furniture,West,5,145,58.00
